Date,Value
2021-09-17,889661679018.75
2021-09-16,893852533875.0
2021-09-15,903585737250.0
2021-09-14,883568771700.0
2021-09-13,847065772306.25
2021-09-12,863233355000.0
2021-09-11,854497002012.5
2021-09-10,841943087906.25
2021-09-09,874052599200.0
2021-09-08,870431581962.5
2021-09-07,879745873034.711
2021-09-06,988875492462.5001
2021-09-05,948450930143.7501
2021-09-04,944463999374.9999
2021-09-03,943051945468.75
2021-09-02,933662447034.375
2021-09-01,914022689481.25
2021-08-31,887383472675.0
2021-08-30,883809162300.0
2021-08-29,917480314490.625
2021-08-28,914607281125.0
2021-08-27,908845511062.5
2021-08-26,881007304878.125
2021-08-25,915566483893.75
2021-08-24,899451015225.0
2021-08-23,931664741750.0001
2021-08-22,917986652275.0
2021-08-21,920930126025.0
2021-08-20,914801253500.0
2021-08-19,876309112262.5
2021-08-18,842826427603.125
2021-08-17,841633034287.5
2021-08-16,865693921343.75
2021-08-15,883499787787.5
2021-08-14,880894018034.375
2021-08-13,894161664946.875
2021-08-12,833234777090.625
2021-08-11,870036087000.0
2021-08-10,856543178400.0
2021-08-09,862739232300.0
2021-08-08,822865416750.0001
2021-08-07,834756775671.875
2021-08-06,805100298274.9999
2021-08-05,770353505746.875
2021-08-04,744515369350.0
2021-08-03,723582256271.875
2021-08-02,742114483200.0
2021-08-01,771925432162.5
2021-07-31,785277153487.4996
2021-07-30,733843146581.25
2021-07-29,743310562500.0
2021-07-28,752294201290.625
2021-07-27,714539456443.9054
2021-07-26,693226378125.0
2021-07-25,646121426934.375
2021-07-24,636612961115.625
2021-07-23,609298379587.5
2021-07-22,605374462962.4999
2021-07-21,602950553471.8749
2021-07-20,556486593437.5
2021-07-19,576377746150.0
2021-07-18,589242612618.75
2021-07-17,593997917756.2499
2021-07-16,596074112965.6251
2021-07-15,595652203475.0001
2021-07-14,618096853856.25
2021-07-13,612717726956.25
2021-07-12,615621796562.5
2021-07-11,636044503899.9999
2021-07-10,625370669625.0
2021-07-09,626955830737.5
2021-07-08,610731062374.9999
2021-07-07,650506976706.25
2021-07-06,639891254700.0
2021-07-05,636916546393.7501
2021-07-04,662096097609.375
2021-07-03,645844485000.0
2021-07-02,632244880575.0
2021-07-01,627374224812.5
2021-06-30,640392481118.75
2021-06-29,681555928500.0
2021-06-28,646558554225.0
2021-06-27,617401518250.0
2021-06-26,586567074843.75
2021-06-25,604310698687.5
2021-06-24,653626814062.5
2021-06-23,630643693437.5
2021-06-22,571963684250.0
2021-06-21,606558996056.25
2021-06-20,645487356846.8749
2021-06-19,668223156375.0
2021-06-18,661457798125.0
2021-06-17,708595136844.5831
2021-06-16,724226282962.5001
2021-06-15,755341381096.875
2021-06-14,751998309618.75
2021-06-13,703286777165.625
2021-06-12,664467269062.5
2021-06-11,696465216121.875
2021-06-10,677372245793.75
2021-06-09,680994737640.6251
2021-06-08,607319193778.125
2021-06-07,636941983421.875
2021-06-06,671875797465.625
2021-06-05,661874373400.0
2021-06-04,694226859050.0
2021-06-03,722286533993.75
2021-06-02,701387475337.5
2021-06-01,678414612562.5
2021-05-31,688473943609.375
